"","DRG.Definition"
"1","039 - EXTRACRANIAL PROCEDURES W/O CC/MCC"
"2","057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC"
"3","064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC"
"4","065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC"
"5","066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC"
"6","069 - TRANSIENT ISCHEMIA"
"7","074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC"
"8","101 - SEIZURES W/O MCC"
"9","149 - DYSEQUILIBRIUM"
"10","176 - PULMONARY EMBOLISM W/O MCC"
"11","177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC"
"12","178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC"
"13","189 - PULMONARY EDEMA & RESPIRATORY FAILURE"
"14","190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC"
"15","191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC"
"16","192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC"
"17","193 - SIMPLE PNEUMONIA & PLEURISY W MCC"
"18","194 - SIMPLE PNEUMONIA & PLEURISY W CC"
"19","195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC"
"20","202 - BRONCHITIS & ASTHMA W CC/MCC"
"21","203 - BRONCHITIS & ASTHMA W/O CC/MCC"
"22","207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS"
"23","208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS"
"24","238 - MAJOR CARDIOVASC PROCEDURES W/O MCC"
"25","243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC"
"26","244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC"
"27","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS"
"28","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC"
"29","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC"
"30","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC"
"31","252 - OTHER VASCULAR PROCEDURES W MCC"
"32","253 - OTHER VASCULAR PROCEDURES W CC"
"33","254 - OTHER VASCULAR PROCEDURES W/O CC/MCC"
"34","280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"
"35","281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"
"36","282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"
"37","286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"
"38","287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"
"39","291 - HEART FAILURE & SHOCK W MCC"
"40","292 - HEART FAILURE & SHOCK W CC"
"41","293 - HEART FAILURE & SHOCK W/O CC/MCC"
"42","300 - PERIPHERAL VASCULAR DISORDERS W CC"
"43","301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC"
"44","303 - ATHEROSCLEROSIS W/O MCC"
"45","305 - HYPERTENSION W/O MCC"
"46","308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC"
"47","309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC"
"48","310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC"
"49","312 - SYNCOPE & COLLAPSE"
"50","313 - CHEST PAIN"
"51","314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC"
"52","315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC"
"53","329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC"
"54","330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC"
"55","372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC"
"56","377 - G.I. HEMORRHAGE W MCC"
"57","378 - G.I. HEMORRHAGE W CC"
"58","379 - G.I. HEMORRHAGE W/O CC/MCC"
"59","389 - G.I. OBSTRUCTION W CC"
"60","390 - G.I. OBSTRUCTION W/O CC/MCC"
"61","391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC"
"62","392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"
"63","394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC"
"64","418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC"
"65","419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC"
"66","439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC"
"67","460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC"
"68","469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC"
"69","470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC"
"70","473 - CERVICAL SPINAL FUSION W/O CC/MCC"
"71","480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC"
