"","Provider.State","State.Covered.Charges.Percent","State.Medicare.Coverage.Percent"
"1","AK",71.4927419339794,87.1981822019915
"2","AL",76.7558147309074,81.6621748347251
"3","AR",74.3572426958844,83.4876010774612
"4","AZ",79.3384682758624,84.2718264639275
"5","CA",82.9814789808873,88.5084247854537
"6","CO",79.9658162189586,83.2478032613539
"7","CT",72.1504022469019,86.5580556917165
"8","DC",74.7387190246611,88.432002466991
"9","DE",71.9119134096013,83.7980635496851
"10","FL",82.8375226893088,83.7225725747064
"11","GA",76.3464273255827,83.2286488959164
"12","HI",71.0645919462547,83.8212373765434
"13","IA",73.4859387174686,83.3227580610918
"14","ID",71.5894132869734,83.4069617447062
"15","IL",77.4940972955294,83.5247708401374
"16","IN",75.4431159951533,83.0177197604641
"17","KS",77.0078215448991,82.8217853446462
"18","KY",73.3427651520949,83.9811661740509
"19","LA",76.695977951861,83.1896162526502
"20","MA",64.8202972212188,87.252526563263
"21","MD",51.4676090781542,88.8942645803582
"22","ME",69.8031166053105,85.053486237385
"23","MI",70.2879848566922,86.1482761858449
"24","MN",72.4489913554594,84.1154991845358
"25","MO",76.6339202148626,83.987735166568
"26","MS",76.182335942696,83.9945370669135
"27","MT",69.8589768182262,83.7974725023826
"28","NC",72.4159329392001,85.0320265498188
"29","ND",67.1305346441579,86.1980271367999
"30","NE",76.174220570972,82.5620201505789
"31","NH",73.8471720316831,84.4167982307706
"32","NJ",85.8091932391371,87.0328467467805
"33","NM",74.2830037465872,84.3677138329252
"34","NV",84.7132558864204,82.7002677328888
"35","NY",70.9493677045889,87.0429918277372
"36","OH",74.7135406430533,84.2259140255543
"37","OK",75.0219461152221,83.817839222275
"38","OR",71.9001928126867,84.0588058859618
"39","PA",77.6768132736233,84.3986931488145
"40","RI",73.3528203490986,85.9510005261853
"41","SC",78.4913389431358,83.409143313963
"42","SD",73.6427888425391,84.7225594986733
"43","TN",76.3373347217759,82.785299972749
"44","TX",80.2155054993617,83.6482564158206
"45","UT",71.511694665811,78.5709037247829
"46","VA",74.8094127884511,82.1353019518152
"47","VT",62.924581585821,87.486096965277
"48","WA",75.554159642243,84.1794815576044
"49","WI",73.1410122611961,83.7731923166085
"50","WV",69.4679685751415,83.8467017880426
"51","WY",70.5446622231076,83.6948442626462
