"","Provider.State","State.Covered.Charges"
"1","AK",2.89115534886101
"2","AL",4.05408078397818
"3","AR",3.23826095631126
"4","AZ",4.17749231425665
"5","CA",5.49366337361667
"6","CO",4.38181486464928
"7","CT",2.78406655937114
"8","DC",3.11828246377823
"9","DE",2.68093471073415
"10","FL",5.35106461304517
"11","GA",3.51667411920492
"12","HI",2.60283613508358
"13","IA",2.89158228461001
"14","ID",2.62365918195789
"15","IL",3.74920043693465
"16","IN",3.24051149814157
"17","KS",3.73972574499349
"18","KY",2.96281146560611
"19","LA",3.75180824019387
"20","MA",1.97967650358391
"21","MD",1.0605603033375
"22","ME",2.39054507933074
"23","MI",2.49727158700695
"24","MN",2.81743708796048
"25","MO",3.59324377442464
"26","MS",3.72346467171595
"27","MT",2.39599403002772
"28","NC",2.81351565104093
"29","ND",2.11764161310913
"30","NE",3.42065106319773
"31","NH",2.97380025465366
"32","NJ",6.6518730408715
"33","NM",3.28268906399583
"34","NV",6.03304359557148
"35","NY",2.8133600832428
"36","OH",3.24111718778073
"37","OK",3.44399973497624
"38","OR",2.6672830204264
"39","PA",4.24860464030652
"40","RI",2.92001301286073
"41","SC",3.99229786101581
"42","SD",2.93562910147219
"43","TN",3.55739282361276
"44","TX",4.62743044507668
"45","UT",2.62494412043257
"46","VA",3.30969152652504
"47","VT",1.74827116562143
"48","WA",3.32836012558153
"49","WI",2.86006396219691
"50","WV",2.38863259989155
"51","WY",2.51102941839022
